Organism Name,# of essential genes,NCBI Taxonomy ID
Acinetobacter johnsonii,717,575586
Acinetobacter junii,487,40215
Acinetobacter lwoffii NCTC 5866,743,981327
Acinetobacter lwoffii SH145,984,575588
Acinetobacter lwoffii WJ10621,577,1046625
Acinetobacter nectaris,500,1392540
Acinetobacter oleivorans,730,436717
Acinetobacter radioresistens,744,575589
Acinetobacter rudis,1185,421052
Acinetobacter soli,608,487316
Acinetobacter sp. ADP1,695,62977
Acinetobacter sp. ANC3789,990,1217714
Acinetobacter sp. ANC3862,1115,1217705
Acinetobacter sp. ANC4105,922,1217703
Acinetobacter sp. ATCC27244,632,525244
Acinetobacter sp. CIP102129,586,1144664
Acinetobacter sp. CIP56.2,921,1144672
Acinetobacter sp. CIPA165,843,40373
Acinetobacter sp. HR7,601,1509403
Acinetobacter sp. NCTC 7422,967,981223
Acinetobacter sp. NIPH2100,593,1217708
Acinetobacter sp. NIPH758,836,1217712
Acinetobacter sp. NIPH809,946,1217713
Acinetobacter sp. NIPH899,706,1217710
Acinetobacter sp. NIPH973,1114,520709
Acinetobacter sp. P838,925,1029823
Acinetobacter sp. RUH2624,637,575564
Acinetobacter sp. Ver3,874,466088
Acinetobacter tandoii,1140,202954
Acinetobacter tjernbergiae,810,202955
Acinetobacter towneri,623,202956
Acinetobacter ursingii,683,981336
Acinetobacter venetianus,736,1191460
Actibacterium atlanticum,735,1461693
Actinoalloteichus cyanogriseus,1946,65497
Actinobacillus capsulatus,596,1120931
Actinobacillus minor 202,536,591023
Actinobacillus minor NM305,542,637911
Actinobacillus pleuropneumoniae 1 4074,592,228399
Actinobacillus pleuropneumoniae 5b L20,597,416269
Actinobacillus succinogenes,531,339671
Actinobacillus suis,632,696748
actinobacterium LLX17,961,1229203
actinobacterium PHSC20C1,207,312284
Actinobaculum massiliae,122,883066
Actinobaculum schaalii,161,883067
Actinobaculum sp. F0552,285,1227261
Actinobaculum urinale,107,1120933
Actinocatenispora sera,2502,390989
Actinokineospora enzanensis,3181,1120934
Actinokineospora sp. EG49,2632,909613
Actinomadura atramentaria,2104,1120936
Actinomadura flavalba,2580,561175
Actinomadura madurae,2570,1394178
Actinomyces cardiffensis,171,888050
Actinomyces coleocanis,135,525245
Actinomyces dentalis,932,1120941
Actinomyces europaeus,309,883069
Actinomyces georgiae,459,1120942
Actinomyces graevenitzii,336,435830
Actinomyces israelii,921,1120944
Actinomyces massiliensis,730,1125718
Actinomyces naeslundii,814,1115803
Actinomyces neuii BVS029A5,167,888439
Actinomyces neuii DSM8576,455,1120945
Actinomyces odontolyticus,408,411466
Actinomyces sp. F0310,36,888052
Actinomyces sp. F0311,448,1321775
Actinomyces sp. F0330,781,653386
Actinomyces sp. F0332,114,649743
Actinomyces sp. F0337,684,706439
Actinomyces sp. F0384,571,944560
Actinomyces sp. F0386,638,762963
Actinomyces sp. F0400,465,888056
Actinomyces sp. HPA0247,78,1203556
