Organism Name,# of essential genes,NCBI Taxonomy ID
Cupriavidus metallidurans,2774,266264
Cupriavidus sp. amp6,3068,388051
Cupriavidus sp. BIS7,2690,1217718
Cupriavidus taiwanensis,1731,977880
Curtobacterium sp. S6,469,1479623
Cyanobacterium aponinum,674,755178
Cyanobacterium sp. PCC7702,1952,1173021
Cyanobacterium stanieri,562,292563
Cyanobium gracile,517,292564
Cyanobium sp. CACIAM14,909,1496688
Cyanobium sp. PCC7001,467,180281
Cyanothece sp. ATCC51142,848,43989
Cyanothece sp. CCY0110,2358,391612
Cyanothece sp. PCC7424,1088,65393
Cyanothece sp. PCC7425,1117,395961
Cyanothece sp. PCC7822,1279,497965
Cyanothece sp. PCC8801,657,41431
Cycloclasticus zancles,334,1198232
Cylindrospermopsis raciborskii,1641,533240
Cylindrospermum stagnale,1155,56107
Cystobacter fuscus,2931,1242864
Dactylococcopsis salina,521,13035
Dactylosporangium aurantiacum,4647,35754
Dasania marina,1873,1121374
Dechloromonas agitata,1600,1304883
Dechloromonas aromatica,1592,159087
Dechlorosoma suillum,1413,640081
Deferribacter desulfuricans,551,639282
Deferrisoma camini,1553,1125863
Defluviimonas sp. 20V17,1888,1417296
Deinococcus apachensis,1258,1121377
Deinococcus aquatilis,1512,1121378
Deinococcus deserti,506,546414
Deinococcus frigens,1370,1121380
Deinococcus geothermalis,619,319795
Deinococcus gobiensis,579,745776
Deinococcus maricopensis,780,709986
Deinococcus marmoris,1381,1121381
Deinococcus misasensis,1796,1121382
Deinococcus peraridilitoris,795,937777
Deinococcus phoenicis,1094,1476583
Deinococcus pimensis,1649,926554
Deinococcus proteolyticus,358,693977
Deinococcus radiodurans,538,243230
Deinococcus sp. 2009,1262,684949
Deinococcus sp. RL,684,1489678
Deinococcus sp. YIM77859,987,1540221
Deinococcus wulumuqiensis,820,1288484
Delftia acidovorans,1840,398578
Demetria terragena,1087,1121385
Denitrovibrio acetiphilus,989,522772
Dermabacter sp. HFH0086,182,1203568
Dermacoccus nishinomiyaensis,409,1274
Dermacoccus sp. Ellin185,824,188626
Desulfarculus baarsii,1012,644282
Desulfatibacillum alkenivorans,1746,439235
Desulfobacca acetoxidans,604,880072
Desulfobacter curvatus,2125,1121396
Desulfobacter postgatei,1385,879212
Desulfobacterium autotrophicum,1975,177437
Desulfobacula sp. TS,2753,1232437
Desulfobulbus japonicus,2020,1121403
Desulfocapsa sulfexigens,1184,1167006
Desulfococcus multivorans,1194,1121405
Desulfococcus oleovorans,995,96561
Desulfocurvus vexinensis,1478,1121406
Desulfohalobium retbaense,595,485915
Desulfomicrobium baculatum,1216,525897
Desulfomonile tiedjei,2129,706587
Desulfonatronospira thiodismutans,1043,555779
Desulfonatronovibrio hydrogenovorans,1101,1121413
Desulfonauticus sp. A7A,216,1379281
Desulforegula conservatrix,1951,1304885
Desulfosarcina sp. BuS5,1249,933262
Desulfospira joergensenii,2696,1265505
Desulfotalea psychrophila,897,177439
Desulfovibrio acrylicus,1271,1121434
Desulfovibrio aespoeensis,1218,643562
Desulfovibrio africanus,1395,690850
Desulfovibrio alaskensis,1118,207559
Desulfovibrio alcoholivorans,2274,1121438
Desulfovibrio alkalitolerans,1370,1121439
Desulfovibrio aminophilus,1537,1121440
Desulfovibrio bastinii,1580,1121441
Desulfovibrio desulfuricans ATCC27774,436,525146
Desulfovibrio desulfuricans DSM642,1014,1121445
Desulfovibrio desulfuricans ND132,1281,641491
Desulfovibrio frigidus,1779,1121447
Desulfovibrio fructosivorans,2239,596151
Desulfovibrio gigas,1508,1121448
Desulfovibrio hydrothermalis,1180,1121451
Desulfovibrio longus,1345,1121456
Desulfovibrio magneticus IFRC170,2090,1304872
Desulfovibrio magneticus RS1,1857,573370
Desulfovibrio oxyclinae,1341,1121459
Desulfovibrio piezophilus,1300,1322246
Desulfovibrio piger,348,411464
Desulfovibrio salexigens,1460,526222
Desulfovibrio sp. 31syn3,966,457398
Desulfovibrio sp. 6146AFAA,1056,665942
Desulfovibrio sp. FW1012B,2008,644968
Desulfovibrio sp. L21SyrAB,1534,1307759
Desulfovibrio sp. U5L,2055,596152
Desulfovibrio sp. X2,1649,941449
Desulfovibrio vulgaris Hildenborough,1006,882
Desulfovibrio vulgaris Miyazaki,300,883
Desulfurella acetivorans,418,694431
Desulfurivibrio alkaliphilus,888,589865
Desulfuromonas sp. TF,1933,1232410
Devosia sp. 172E8,1744,1535287
Devosia sp. LC5,1302,1502724
Dichelobacter nodosus,259,246195
Dickeya dadantii 3937,1193,198628
Dickeya dadantii Ech586,1095,590409
Dickeya dadantii Ech703,1090,579405
Dickeya sp. 2B12,1542,1577887
Dickeya sp. DW 0440,1487,1225785
Dickeya sp. NCPPB569,1517,568768
Dickeya zeae,1184,561229
Dietzia alimentaria,1230,1077144
Dietzia sp. UCDTHP,1199,1292020
Dinoroseobacter shibae,809,398580
Diplosphaera colitermitum,944,278957
Donghicola xiamenensis,1993,1121479
Dongia sp. URHE0060,2852,1380391
Dyella ginsengisoli,1708,1234364
Ectothiorhodospira sp. PHS1,1166,519989
Edwardsiella hoshinae,999,1216966
Edwardsiella tarda ATCC15947,1246,667121
Eggerthella lenta,763,479437
Eggerthella sp. YY7918,499,502558
Ehrlichia canis,176,269484
Ehrlichia chaffeensis,180,205920
Ehrlichia ruminantium,181,254945
Ehrlichia sp. HF,176,391036
Eikenella corrodens ATCC23834,380,546274
Elioraea tepidiphila,1172,1121861
Endolissoclinum faulkneri L2,235,1193729
Endolissoclinum faulkneri L5,237,1401328
endosymbiont of Acanthamoeba,168,86106
endosymbiont of Tevnia,1694,1049564
Endozoicomonas elysicola,1545,305900
Endozoicomonas montiporae,1279,1027273
Endozoicomonas numazuensis,1445,1137799
Enhydrobacter aerosaccus,604,553217
Enhygromyxa salina,3226,215803
Enorma massiliensis,540,1118060
Ensifer sojae,1755,716928
Ensifer sp. BR816,2936,1057002
Ensifer sp. TW10,1755,1353531
Ensifer sp. WSM1721,2502,1041159
Enterobacter aerogenes,1295,1028307
Enterobacter asburiae LF7a,1315,640513
Enterobacter cloacae ATCC13047,1220,716541
Enterobacter cloacae EcWSU1,2129,1045856
Enterobacter cloacae JD6301,1997,1399774
Enterobacter lignolyticus,1329,701347
Enterobacter sp. 638,1141,399742
Enterobacter sp. R4368,1543,1166130
Enterobacteriaceae bacterium B14,1130,1214065
Enterobacteriaceae bacterium LSJC7,1599,1224136
Enterobacteriaceae bacterium strain,1221,693444
Enterorhabdus caecimuris,382,1235794
Enterorhabdus mucosicola,813,1121866
Enterovibrio calviensis,2449,1190606
Enterovibrio norvegicus,2290,1190603
Erwinia amylovora,969,665029
Erwinia billingiae,1296,634500
Erwinia pyrifoliae,874,634499
Erwinia tasmaniensis,1022,465817
Erwinia typographi,2130,371042
Erythrobacter litoralis,474,314225
Erythrobacter longus,883,1044
Erythrobacter sp. JL475,656,383381
Erythrobacter sp. NAP1,809,237727
Erythrobacter sp. SD21,1016,161528
Erythrobacter vulgaris,638,291985
Escherichia albertii KF1,1347,1440052
Escherichia albertii TW07627,1607,502347
Escherichia coli 536,1452,362663
Escherichia coli ATCC8739,1361,481805
Escherichia coli BL21,1268,469008
Escherichia coli CFT073,1448,199310
Escherichia coli K12 MG1655,1321,511145
Escherichia coli O157H7,1515,155864
Escherichia hermannii,1900,1115512
Escherichia sp. TW09308,1860,754331
Escherichia vulneris,1921,1115515
Ewingella americana,2016,910964
Falsirhodobacter sp. alg1,1163,1472418
Fangia hongkongensis,455,1089439
Ferrimicrobium acidiphilum,438,1121877
Ferrimonas balearica,1248,550540
Ferrimonas futtsuensis,1677,1121878
Ferriphaselus sp. R1,604,1485544
Fibrobacter succinogenes,415,59374
filamentous cyanobacterium,747,1128427
Fischerella muscicola,1919,306281
Fischerella sp. PCC9339,3005,1174528
Fischerella sp. PCC9431,2485,1173023
Fischerella sp. PCC9605,1885,1173024
Fischerella thermalis,2179,98439
Flexistipes sinusarabici,476,717231
Fluoribacter dumoffii,1265,1094715
Fodinicurvata fenggangensis,1603,570967
Fodinicurvata sediminis,1510,570952
Francisella noatunensis,345,1163389
Francisella philomiragia,381,484022
Francisella sp. FSC1006,325,1547445
Francisella sp. TX077308,380,573569
Francisella sp. W121067,458,1385420
Francisella tularensis holarctica,358,376619
Francisella tularensis novicida,394,676032
Francisella tularensis SCHUS4,332,177416
Frankia alni,1230,326424
Frankia sp. BCU110501,2824,365528
Frankia sp. BMG512,2623,222534
Frankia sp. CcI3,905,106370
Frankia sp. CN3,4242,298655
Frankia sp. EAN1pec,2952,298653
Frankia sp. EuI1c,3010,298654
Frankia sp. Iso899,60,1283283
Frankia sp. QA3,3156,710111
Frankia symbiont,1091,656024
Frateuria aurantia,633,767434
Fulvimarina pelagi,1281,314231
Fusobacterium gonidiaformans,103,469615
Fusobacterium hwasookii,602,1216362
Fusobacterium mortiferum,575,469616
Fusobacterium necrophorum D12,103,556263
Fusobacterium necrophorum funduliforme,113,1095747
Fusobacterium nucleatum animalis,286,457405
Fusobacterium nucleatum ATCC25586,340,190304
Fusobacterium nucleatum polymorphum,172,393480
Fusobacterium nucleatum vincentii 3136A2,269,469604
Fusobacterium nucleatum vincentii 4113,111,469606
Fusobacterium nucleatum W1481,170,1408287
Fusobacterium perfoetens,253,1408439
Fusobacterium periodonticum,265,546275
Fusobacterium russii,98,1278306
Fusobacterium sp. F0437,194,861452
Fusobacterium ulcerans,761,469617
Fusobacterium varium,330,469618
Gallaecimonas xiamenensis,1820,745411
Gallibacterium anatis,544,1005058
Gallibacterium genomosp.,564,155515
Gallionella capsiferriformans,791,395494
Gammaproteobacteria bacterium BDW918,2046,1168065
Gammaproteobacteria bacterium HdN1,1238,83406
Gammaproteobacteria bacterium HIMB30,228,751994
Gammaproteobacteria bacterium HIMB55,980,745014
Gammaproteobacteria bacterium HTCC2080,1413,247639
Gammaproteobacteria bacterium HTCC2143,1567,247633
Gammaproteobacteria bacterium HTCC2148,958,247634
Gammaproteobacteria bacterium HTCC2207,823,314287
Gammaproteobacteria bacterium HTCC5015,327,391615
Gammaproteobacteria bacterium IMCC3088,937,876044
Gammaproteobacteria bacterium MFB021,1332,1492922
Gammaproteobacteria bacterium MOLA455,780,1411685
Gammaproteobacteria bacterium NOR53,1301,566466
Gammaproteobacteria bacterium WG36,2040,1229485
Gardnerella vaginalis 101,87,904144
Gardnerella vaginalis 6119V5,123,698961
Gayadomonas joobiniege,1469,1046714
Geitlerinema sp. PCC7407,905,1173025
Geminicoccus roseus,2273,1089551
Geminocystis herdmanii,1526,113355
Gemmobacter nectariphilus,1467,1121271
Geobacter bemidjiensis,1745,404380
Geobacter daltonii,1576,316067
Geobacter lovleyi,1536,398767
Geobacter metallireducens,1500,269799
Geobacter sp. M18,1896,443143
Geobacter sp. M21,1443,443144
Geobacter sulfurreducens,1357,243231
Geodermatophilaceae bacterium URHA0031,2240,1380393
Geodermatophilaceae bacterium URHB0048,1940,1380347
Geodermatophilus obscurus,1025,526225
Geopsychrobacter electrodiphilus,1712,1121918
Geothrix fermentans,1150,1121920
Geovibrio sp. L21AceBES,814,1304888
Gilliamella apicola,656,1196095
Gilvimarinus chinensis,1587,1121921
Glaciecola arctica,2151,493475
Glaciecola lipolytica,1754,1127673
Glaciecola mesophila,1652,1128912
Glaciecola nitratireducens,1155,1085623
Glaciecola psychrophila,1480,1129794
Glaciecola punicea,797,1121923
Glaciecola sp. 4H37YE5,1302,983545
Glaciecola sp. HTCC2999,645,455436
Glaciibacter superstes,1564,1121924
Gloeobacter kilaueensis,643,1183438
Gloeocapsa sp. PCC73106,1618,102232
Gloeocapsa sp. PCC7428,1006,1173026
Glomeribacter gigasporarum,132,1070319
Gluconacetobacter diazotrophicus,722,272568
Gluconobacter frateurii,805,1307834
Gluconobacter morbifer,628,1088869
Gluconobacter oxydans 621H,384,290633
Gluconobacter oxydans H24,593,1224746
Glycomyces arizonensis,946,1121926
Glycomyces sp. NRRLB16210,1477,1463821
Gordonia aichiensis,1203,1220583
Gordonia alkanivorans,2199,1027371
Gordonia amarae,2285,1075090
Gordonia amicalis,1994,1386969
Gordonia bronchialis,1255,526226
Gordonia effusa,1601,1077974
Gordonia hirsuta,1370,1121927
Gordonia kroppenstedtii,1341,468556
Gordonia malaquae,1808,1223542
Gordonia neofelifaecis,1589,644548
Gordonia paraffinivorans,2053,1223543
Gordonia polyisoprenivorans,2105,1112204
Gordonia rhizosphera,2692,1108045
Gordonia shandongensis,1268,1121928
Gordonia sihwensis,1566,1223544
Gordonia soli,1873,1223545
Gordonia sp. KTR9,2275,337191
Gordonia sputi,1828,1089453
Gordonia terrae,2585,2055
Granulibacter bethesdensis,542,391165
Granulicella mallensis,762,682795
Granulicella tundricola,519,1198114
Granulicoccus phenolivorans,1294,1121933
Grimontia hollisae,1088,675812
Grimontia indica,2304,1056512
Gryllotalpicola ginsengisoli,607,1121372
Gulosibacter molinativorax,834,1121934
Haematobacter massiliensis,1475,195105
Haemophilus ducreyi,330,233412
Haemophilus haemolyticus M19501,451,1028803
Haemophilus haemolyticus M21621,413,1028805
Haemophilus haemolyticus M21639,478,1028806
Haemophilus influenzae,437,71421
Haemophilus parainfluenzae,510,862965
Haemophilus paraphrohaemolyticus,484,1095743
Haemophilus somnus,425,205914
Haemophilus sp. FF7,548,1461579
Haemophilus sputorum,554,1035839
Hafnia alvei,1205,1453496
Hahella chejuensis,2336,349521
Hahella ganghwensis,2040,1121935
Haliangium ochraceum,2699,502025
Haliea rubra,976,1265313
Haliea salexigens,1403,1121937
Haloferula sp. BvORR071,1970,1396141
Haloglycomyces albus,1031,1089549
Halomonas alkaliantarctica,1686,232346
Halomonas anticariensis,2225,1121939
Halomonas elongata,897,768066
Halomonas halocynthiae,1092,1121940
Halomonas jeotgali,510,1238190
Halomonas lutea,1807,1121943
Halomonas salina,1080,42565
Halomonas sp. 23GOM1509m,290,1380358
Halomonas sp. BJGMMB45,906,1178482
Halomonas sp. GFAJ1,1576,1118153
Halomonas sp. HL48,1440,1479235
Halomonas sp. PBN3,1324,1397528
Halomonas sp. TD01,1761,999141
Halomonas sp. TG39a,2274,1415755
Halomonas xinjiangensis,1635,1166948
Halomonas zhanjiangensis,1662,574966
Halorhodospira halophila,626,349124
Halothece sp. PCC7418,711,65093
Halothiobacillus neapolitanus,555,555778
Halyomorpha halys,232,1235990
Hamadaea tsunoensis,3126,1121946
Hamiltonella defensa,323,572265
Helicobacter acinonychis,254,382638
Helicobacter bilis,272,613026
Helicobacter bizzozeronii,265,1002804
Helicobacter canadensis,196,537970
Helicobacter canis,202,1357399
Helicobacter cetorum MIT007128,272,182217
Helicobacter cetorum MIT995656,265,1163745
Helicobacter cinaedi CCUG18818,351,537971
Helicobacter cinaedi PAGU611,330,1172562
Helicobacter felis,285,936155
Helicobacter fennelliae,192,1325130
Helicobacter hepaticus,350,235279
Helicobacter macacae,195,1357400
Helicobacter mustelae,315,679897
Helicobacter pametensis,144,1408442
Helicobacter pullorum,206,537972
Helicobacter pylori 26695,276,85962
Helicobacter pylori J99,271,85963
Helicobacter pylori SA213A,178,1345592
Helicobacter pylori SouthAfrica7,266,907239
Helicobacter rodentium,245,1449345
Helicobacter sp. MIT016451,173,425400
Helicobacter sp. MIT115569,194,1548151
Helicobacter suis,179,710393
Helicobacter trogontum,197,50960
Helicobacter winghamensis,184,556267
Hellea balneolensis,780,1121948
Henriciella marina,1035,1121949
Hepatobacter penaei,104,1274402
Herbaspirillum frisingense,2885,864073
Herbaspirillum massiliense,1439,1095769
Herbaspirillum seropedicae,1741,757424
Herbaspirillum sp. CF444,2972,1144319
Herbaspirillum sp. GW103,2608,1175306
Herbaspirillum sp. YR522,2519,1144342
Herbidospora cretacea,3673,28444
Herminiimonas arsenicoxydans,780,204773
Hippea alviniae,177,944480
Hippea jasoniae,359,944479
Hippea maritima,353,760142
Hippea sp. KM1,337,944481
Hirschia baltica,501,582402
Hirschia maritima,942,551275
Hoeflea phototrophica,1462,411684
Hoeflea sp. 108,1538,1116369
Hoeflea sp. BAL378,2125,1547437
Holophaga foetida,1683,903818
Holospora obtusa,84,1399147
Humibacter albus,981,1121952
Hylemonella gracilis ATCC19624,1581,887062
Hylemonella gracilis Niagara,1644,1458275
Hyphomicrobium denitrificans 1NES1,728,670307
Hyphomicrobium denitrificans ATCC51888,682,582899
Hyphomicrobium sp. MC1,977,717785
Hyphomicrobium zavarzinii,1712,1267005
Hyphomonas adhaerens,1518,1280949
Hyphomonas jannaschiana,1344,1280952
Hyphomonas johnsonii,1217,1280950
Hyphomonas neptunium,803,228405
Hyphomonas oceanitis,1044,1280953
Hyphomonas polymorpha,1557,1280954
Hyphomonas sp. 22II122F38,1052,1280948
Hyphomonas sp. 25B141,1504,1280946
Hyphomonas sp. BHBN044,1065,1280947
Hyphomonas sp. CY54118,1262,1280944
Hyphomonas sp. L53140,921,1207058
Hyphomonas sp. T16B2,838,1280941
Idiomarina loihiensis,517,283942
Idiomarina salinarum,475,435908
Idiomarina sp. A28L,661,1036674
Idiomarina sp. MCCC1A10513,509,1517416
Idiomarina xiamenensis,985,740709
Ignatzschineria larvae,566,1111732
Ignavibacterium album,781,945713
Ilumatobacter coccineus,1467,1313172
Ilyobacter polytropus,295,572544
Intrasporangiaceae bacterium URHB0013,1547,1380370
Intrasporangium calvum,770,710696
Intrasporangium oryzae,1593,1386089
Isoptericola variabilis,590,743718
Janibacter hoylei,899,1210046
Janibacter sp. HTCC2649,1384,313589
Jannaschia sp. CCS1,872,290400
Janthinobacterium agaricidamnosum,1832,1349767
Janthinobacterium lividum,1895,29581
Janthinobacterium sp. HH01,3412,1198452
Janthinobacterium sp. Marseille,1031,375286
Jonesia denitrificans,439,471856
Jonesia quinghaiensis,612,1122130
Kaistia granuli,1735,1122132
Kamptonema formosum,2280,402777
Kangiella aquimarina,748,1122134
Kangiella koreensis,485,523791
Ketogulonicigenium vulgare,550,759362
Kiloniella laminariae,2001,1122135
Kineococcus radiotolerans,819,266940
Kineosphaera limosa,1768,1184609
Kineosporia aurantiaca,3550,1306174
Kinetoplastibacterium blastocrithidii,222,1208923
Kinetoplastibacterium crithidii,187,1208918
Kinetoplastibacterium desouzaii,193,1208919
Kinetoplastibacterium galatii,191,1208921
Kinetoplastibacterium oncopeltii,173,1208920
Kingella kingae,324,887327
Kitasatospora arboriphila,2256,258052
Kitasatospora azatica,3174,1449346
Kitasatospora cheerisanensis,3588,1348663
Kitasatospora mediocidica,2809,1449347
Kitasatospora setae,1824,452652
Klebsiella oxytoca,1445,571
Klebsiella pneumoniae,1307,573
Kluyvera ascorbata,2026,1006000
Knoellia aerolata,1234,1385519
Knoellia flava,1067,1385518
Knoellia sinensis,1294,1385520
Knoellia subterranea,540,1385521
Kocuria marina,550,223184
Kocuria polaris,782,136273
Kocuria rhizophila DC2201,475,378753
Kocuria rhizophila P74,111,1029824
Komagataeibacter medellinensis,568,634177
Komagataeibacter rhaeticus,948,1432055
Komagataeibacter xylinus,518,1296990
Kordiimonas gwangyangensis,1466,1122137
Koribacter versatilis,1510,204669
Kozakia baliensis,321,153496
Kribbella catacumbae,3168,1122138
Kribbella flavida,1366,479435
Kushneria aurantia,1376,1122139
Kutzneria albida,2744,1449976
Kutzneria sp. 744,4425,345341
Kytococcus sedentarius,339,478801
Labrenzia aggregata,1553,384765
Laribacter hongkongensis,684,557598
Lautropia mirabilis,684,887898
Lawsonia intracellularis,278,363253
Lebetimonas sp. JS170,240,990073
Lechevalieria aerocolonigenes,5500,68170
Leclercia adecarboxylata,1192,911008
Legionella anisa,1403,1230343
Legionella drancourtii,1236,658187
Legionella fairfieldensis,625,1408444
Legionella lansingensis,727,1122164
Legionella longbeachae,565,661367
Legionella massiliensis,1239,1034943
Legionella moravica,1340,1122165
Legionella oakridgensis,539,1268635
Legionella pneumophila Paris,487,297246
Legionella pneumophila Philadelphia,468,272624
Legionella sainthelensi,737,1408445
Legionella shakespearei,924,1122169
Leifsonia aquatica,1379,1416759
Leifsonia rubra,472,1348338
Leifsonia sp. 109,1169,1150399
Leifsonia xyli CTCB07,290,281090
Leifsonia xyli cynodontis,381,1389489
Leisingera aquimarina,1902,999611
Leisingera caerulea,1546,999549
Leisingera daeponensis,1716,999547
Leisingera sp. ANG1,1972,1002340
Leminorella grimontii,1370,1005999
Leptolyngbya boryana,2780,272134
Leptolyngbya sp. Heron,2965,1385935
Leptolyngbya sp. JSC1,2052,1487953
Leptolyngbya sp. KIOST1,2258,1229172
Leptolyngbya sp. PCC6406,1831,1173264
Leptolyngbya sp. PCC7375,2821,102129
Leptolyngbya sp. PCC7376,909,111781
Leptothrix cholodnii,1561,395495
Leptotrichia buccalis,327,523794
Leptotrichia goodfellowii,187,596323
Leptotrichia hofstadii,614,634994
Leptotrichia shahii,265,1122172
Leptotrichia sp. F0557,168,1227268
Leptotrichia sp. F0581,227,1321774
Leptotrichia sp. W9775,262,1321779
Leptotrichia trevisanii,471,1122173
Leptotrichia wadei,187,888055
Leucobacter chironomi,446,1122175
Leucobacter chromiiresistens,526,714083
Leucobacter salsicius,460,1238186
Leucobacter sp. PH1c,630,1397278
Leucothrix mucor,2093,998674
Liberibacter americanus,196,1261131
Liberibacter asiaticus gxpsy,219,1174529
Liberibacter asiaticus psy62,216,537021
Liberibacter crescens,273,1215343
Liberibacter solanacearum,227,658172
Limnohabitans sp. Rim28,766,1100720
Limnohabitans sp. Rim47,723,1100721
Loktanella cinnabarina,1513,1337093
Loktanella hongkongensis,568,1122180
Loktanella vestfoldensis SKA53,582,314232
Longispora albida,2592,1122182
Lonsdalea quercina,1261,1082705
Luminiphilus syltensis,974,565045
Luteibacter sp. 9135,1760,1500893
Luteibacter sp. 9143,1931,1500890
Luteimonas huabeiensis,1520,1442599
Luteimonas sp. J29,1170,935863
Lutibaculum baratangense,1549,631454
Lyngbya sp. PCC8106,2421,313612
Lysinimicrobium mangrovi,822,1043493
Lysobacter antibioticus,611,84531
Lysobacter arseniciresistens,784,913325
Lysobacter concretionis,710,1122185
Lysobacter daejeonensis,867,1385517
Lysobacter defluvii,864,1385515
Lysobacter dokdonensis,989,1300345
Magnetococcus marinus,1230,156889
Magnetospirillum gryphiswaldense,1821,1430440
Magnetospirillum sp. SO1,2597,1244869
Mangrovibacter sp. MFB070,2280,1224318
Mannheimia haemolytica BOVINE,572,669262
Mannheimia haemolytica M42548,618,1316932
Mannheimia succiniciproducens,568,221988
Mannheimia varigena USMARC1261,536,1432056
Mannheimia varigena USMARC1296,586,1433287
Maribius sp. MOLA401,1196,1530186
Maricaulis maris,663,394221
Maricaulis sp. JL2009,1036,1161401
Marichromatium purpuratum,657,765910
Marinimicrobium agarilyticum,1535,1122194
Marinithermus hydrothermalis,395,869210
Marinobacter adhaerens,1333,225937
Marinobacter algicola,2101,443152
Marinobacter daepoensis,1657,1122197
Marinobacter hydrocarbonoclasticus,1226,351348
Marinobacter lipolyticus BF04CF4,1122,1046724
Marinobacter lipolyticus SM19,1706,1318628
Marinobacter nanhaiticus,1903,626887
Marinobacter santoriniensis,1606,1288826
Marinobacter sp. ELB17,1680,270374
Marinobacter sp. ES1,1032,1396858
Marinobacter sp. HL58,1787,1479237
Marinobacter sp. MCTG268,1581,1415754
Marinobacterium litorale,2067,1122201
Marinobacterium sp. AK27,2130,1232683
Marinobacterium stanieri,2070,1042375
Marinomonas mediterranea,530,717774
Marinomonas posidonica,904,491952
Marinomonas sp. D104,1589,1208321
Marinomonas sp. MWYL1,1372,400668
Marinomonas ushuaiensis,1436,1122207
Marinospirillum insulare,1327,1122211
Marinospirillum minutulum,1085,1122212
Mariprofundus ferrooxydans,600,314345
Maritimibacter alkaliphilus,1468,314271
Marmoricola aequoreus,1454,397278
Marmoricola sp. URHB0036,1942,1298863
Martelella mediterranea,1121,1122214
Massilia consociata,1774,760117
Massilia sp. 9096,2437,1500894
Massilia sp. LC238,2380,1502852
Massilia timonae,2705,883126
Mastigocladopsis repens,2383,221288
Meganema perideroedes,867,1122218
Meiothermus cerbereus,875,1122221
Meiothermus chliarophilus,1715,926560
Meiothermus ruber,596,504728
Meiothermus rufus,752,604331
Meiothermus silvanus,683,526227
Meiothermus taiwanensis,836,1122222
Meiothermus timidus,939,1122223
Melioribacter roseus,804,1191523
Mesorhizobium amorphae,1650,1082933
Mesorhizobium australicum,1351,754035
Mesorhizobium ciceri biovar,1410,765698
Mesorhizobium loti CJ3sym,2953,1040982
Mesorhizobium loti R88b,3125,935548
Mesorhizobium loti USDA3471,2985,1040983
Mesorhizobium metallidurans,2630,1297569
Mesorhizobium opportunistum,1461,536019
Mesorhizobium sp. L2C084A000,2798,1287116
Mesorhizobium sp. LNJC398B00,2291,1287276
Mesorhizobium sp. NBIMCP2C3,2096,1320556
Mesorhizobium sp. STM4661,2809,1297570
Mesorhizobium sp. URHA0056,2642,1298858
Mesorhizobium sp. URHC0008,555,1380350
Mesorhizobium sp. WSM3224,2894,1040986
Mesorhizobium sp. WSM3626,2683,1040987
Metascardovia criceti,108,1122228
Methylacidiphilum fumariolicum,276,1156937
Methylacidiphilum infernorum,423,481448
Methylibium petroleiphilum,1203,420662
Methylobacillus flagellatus,624,265072
Methylobacillus glycogenes,1543,1236959
Methylobacter tundripaludum,1915,697282
Methylobacterium extorquens AM1,1453,272630
Methylobacterium extorquens PA1,1361,419610
Methylobacterium nodulans,713,460265
Methylobacterium oryzae,1850,693986
Methylobacterium populi,1531,441620
Methylobacterium radiotolerans,1995,426355
Methylobacterium sp. 10,1746,1101191
Methylobacterium sp. 446,1805,426117
Methylobacterium sp. 77,1554,1101192
Methylobacterium sp. 88A,1680,1131813
Methylobacterium sp. GXF4,2553,1096546
Methylobacterium sp. MB200,2149,648885
Methylocapsa acidiphila,1079,395964
Methylocapsa aurea,1263,663610
Methylocella silvestris,945,395965
Methylococcus capsulatus,628,243233
Methylocystis parvus,1470,1134912
Methylocystis sp. ATCC49242,1215,622637
Methylocystis sp. SB2,1034,743836
Methylocystis sp. SC2,639,187303
Methyloferula stellata,1688,876269
Methyloglobulus morosus,1496,1116472
Methylohalobius crimeensis,1255,1283300
Methylomicrobium album,1291,686340
Methylomonas methanica,1132,857087
Methylophaga aminisulfidivorans,1549,1026882
Methylophaga frappieri,599,754477
Methylophaga lonarensis,1173,1286106
Methylophaga nitratireducenticrescens,661,754476
Methylophilaceae bacterium 11,1011,1101195
Methylophilus methylotrophus,947,1122236
Methylophilus sp. 5,962,1112274
Methylophilus sp. OH31,1117,1387312
Methylopila sp. 73B,1722,1120792
Methylopila sp. M107,1409,1101190
Methylosinus sp. LW3,227,107635
Methylosinus sp. LW4,1848,136993
Methylosinus sp. PW1,1680,107636
Methylosinus trichosporium,1156,595536
Methylotenera mobilis 13,1007,1132855
Methylotenera mobilis JLW8,527,583345
Methylotenera sp. 73s,825,1165096
Methylotenera sp. L2L1,1018,1502770
Methylotenera versatilis,656,666681
Methyloversatilis universalis FAM5,2177,1000565
Methylovorus glucosetrophus,624,582744
Micavibrio aeruginosavorus ARL13,283,856793
Microbacterium gubbeenense,506,1122237
Microbacterium indicum,642,1122238
Microbacterium luticocti,624,1122239
Microbacterium oleivorans,593,273677
Microbacterium paraoxydans 77MFTsu32,1017,1151126
Microbacterium paraoxydans DH1b,1026,1416752
Microbacterium profundi,813,450380
Microbacterium sp. 292MF,1192,1151122
Microbacterium sp. C448,946,1177594
Microbacterium sp. CrK20,766,1452536
Microbacterium sp. CrK32,1106,1452535
Microbacterium sp. KROCY2,546,1305732
Microbacterium sp. MRS1,609,1451261
Microbacterium sp. UNCCL10,675,1449058
Microbacterium sp. URHA0036,1108,1298860
Microbacterium testaceum,754,979556
Microbacterium yannicii,1112,1194165
Microbulbifer agarilyticus,501,1042377
Microbulbifer sp. HZ11,1364,1453501
