1470591.BW41_03956,cheB_3,Chemotaxis&nbsp;response&nbsp;regulator&nbsp;protein-glutamate&nbsp;methylesterase,97.1
1470591.BW41_04049,BW41_04049,annotation&nbsp;not&nbsp;available,97.1
1470591.BW41_03048,phbB,annotation&nbsp;not&nbsp;available,97.0
1470591.BW41_02968,lysS,annotation&nbsp;not&nbsp;available,97.0
1470591.BW41_03219,BW41_03219,annotation&nbsp;not&nbsp;available,96.9
1470591.BW41_02489,BW41_02489,annotation&nbsp;not&nbsp;available,96.9
1470591.BW41_03832,BW41_03832,annotation&nbsp;not&nbsp;available,96.9
1470591.BW41_02961,BW41_02961,annotation&nbsp;not&nbsp;available,96.9
1470591.BW41_00153,BW41_00153,annotation&nbsp;not&nbsp;available,96.8
1470591.BW41_00794,BW41_00794,Uncharacterized&nbsp;protein,96.8
1470591.BW41_01047,cobA_1,annotation&nbsp;not&nbsp;available,96.8
1470591.BW41_01623,rtcA_2,RNA&nbsp;3'-terminal&nbsp;phosphate&nbsp;cyclase,96.8
1470591.BW41_00061,BW41_00061,annotation&nbsp;not&nbsp;available,96.7
1470591.BW41_04042,BW41_04042,annotation&nbsp;not&nbsp;available,96.7
1470591.BW41_02055,purQ,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurQ,96.7
1470591.BW41_04033,BW41_04033,annotation&nbsp;not&nbsp;available,96.7
1470591.BW41_00870,BW41_00870,annotation&nbsp;not&nbsp;available,96.7
1470591.BW41_00377,BW41_00377,annotation&nbsp;not&nbsp;available,96.5
1470591.BW41_01088,BW41_01088,annotation&nbsp;not&nbsp;available,96.5
1470591.BW41_03290,BW41_03290,annotation&nbsp;not&nbsp;available,96.5
1470591.BW41_01178,BW41_01178,annotation&nbsp;not&nbsp;available,96.5
1470591.BW41_01316,BW41_01316,annotation&nbsp;not&nbsp;available,96.4
1470591.BW41_03987,BW41_03987,annotation&nbsp;not&nbsp;available,96.4
1470591.BW41_02611,BW41_02611,annotation&nbsp;not&nbsp;available,96.4
1470591.BW41_01224,BW41_01224,annotation&nbsp;not&nbsp;available,96.4
1470591.BW41_00393,nuoE,annotation&nbsp;not&nbsp;available,96.3
1470591.BW41_00165,xth,annotation&nbsp;not&nbsp;available,96.3
1470591.BW41_00660,BW41_00660,annotation&nbsp;not&nbsp;available,96.3
1470591.BW41_01368,BW41_01368,annotation&nbsp;not&nbsp;available,96.3
1470591.BW41_01025,dnaN_2,Beta&nbsp;sliding&nbsp;clamp,96.3
1470591.BW41_01077,BW41_01077,annotation&nbsp;not&nbsp;available,96.3
1470591.BW41_01367,BW41_01367,annotation&nbsp;not&nbsp;available,96.2
1470591.BW41_02876,BW41_02876,NAD(P)&nbsp;transhydrogenase&nbsp;subunit&nbsp;beta,96.2
1470591.BW41_00997,BW41_00997,annotation&nbsp;not&nbsp;available,96.2
1470591.BW41_02894,BW41_02894,annotation&nbsp;not&nbsp;available,96.2
1470591.BW41_03949,BW41_03949,annotation&nbsp;not&nbsp;available,96.2
1470591.BW41_03723,BW41_03723,annotation&nbsp;not&nbsp;available,96.2
1470591.BW41_02602,BW41_02602,annotation&nbsp;not&nbsp;available,96.1
1470591.BW41_00026,ftsY,Signal&nbsp;recognition&nbsp;particle&nbsp;receptor&nbsp;FtsY,96.1
1470591.BW41_01257,recF,DNA&nbsp;replication&nbsp;and&nbsp;repair&nbsp;protein&nbsp;RecF,96.0
1470591.BW41_00925,BW41_00925,annotation&nbsp;not&nbsp;available,96.0
1470591.BW41_03717,BW41_03717,annotation&nbsp;not&nbsp;available,96.0
1470591.BW41_02058,BW41_02058,annotation&nbsp;not&nbsp;available,96.0
1470591.BW41_03846,BW41_03846,annotation&nbsp;not&nbsp;available,95.9
1470591.BW41_00366,BW41_00366,annotation&nbsp;not&nbsp;available,95.8
1470591.BW41_02929,BW41_02929,annotation&nbsp;not&nbsp;available,95.8
1470591.BW41_01311,BW41_01311,annotation&nbsp;not&nbsp;available,95.8
1470591.BW41_01006,bphK,annotation&nbsp;not&nbsp;available,95.7
1470591.BW41_01144,fabH_2,annotation&nbsp;not&nbsp;available,95.7
1470591.BW41_03125,BW41_03125,annotation&nbsp;not&nbsp;available,95.6
1470591.BW41_01383,BW41_01383,annotation&nbsp;not&nbsp;available,95.6
1470591.BW41_03581,coxB,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;2,95.6
1470591.BW41_00739,BW41_00739,annotation&nbsp;not&nbsp;available,95.6
