167550.EV00_1582,EV00_1582,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0266,72.8
167550.EV00_0548,EV00_0548,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1317,72.3
167550.EV00_1207,EV00_1207,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1029,72.1
167550.EV00_0138,EV00_0138,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1489,70.4
167550.EV00_0884,EV00_0884,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0706,70.2
167550.EV00_0880,EV00_0880,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0702,70.1
167550.EV00_1923,EV00_1923,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0607,69.3
167550.EV00_0533,EV00_0533,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1302,69.2
167550.EV00_0488,EV00_0488,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1257,68.7
167550.EV00_1781,EV00_1781,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0465,68.5
167550.EV00_0322,EV00_0322,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1674,68.5
167550.EV00_1153,EV00_1153,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0975,68.0
167550.EV00_0152,EV00_0152,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1503,67.3
167550.EV00_0278,EV00_0278,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1630,67.1
167550.EV00_0317,EV00_0317,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1669,67.0
167550.EV00_0883,EV00_0883,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0705,66.7
167550.EV00_0528,EV00_0528,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1297,66.4
167550.EV00_0319,EV00_0319,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1671,66.3
167550.EV00_1002,EV00_1002,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0824,66.2
167550.EV00_0440,EV00_0440,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1209,66.0
167550.EV00_0542,EV00_0542,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1311,65.8
167550.EV00_0065,EV00_0065,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1823,65.5
