1096546.WYO_5446,WYO_5446,annotation&nbsp;not&nbsp;available,97.7
1096546.WYO_2002,ligA,DNA&nbsp;ligase,97.7
1096546.WYO_1840,WYO_1840,annotation&nbsp;not&nbsp;available,97.6
1096546.WYO_2312,murG,Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc&nbsp;GlcNAc&nbsp;transferase,97.6
1096546.WYO_2665,tmk,Thymidylate&nbsp;kinase,97.6
1096546.WYO_0056,WYO_0056,annotation&nbsp;not&nbsp;available,97.6
1096546.WYO_5916,WYO_5916,annotation&nbsp;not&nbsp;available,97.5
1096546.WYO_1681,rpsR,30S&nbsp;ribosomal&nbsp;protein&nbsp;S18,97.5
1096546.WYO_5920,WYO_5920,Binding-protein-dependent&nbsp;transport&nbsp;system&nbsp;inner&nbsp;membrane&nbsp;protein,97.5
1096546.WYO_1170,WYO_1170,annotation&nbsp;not&nbsp;available,97.5
1096546.WYO_3412,WYO_3412,annotation&nbsp;not&nbsp;available,97.5
1096546.WYO_1379,WYO_1379,annotation&nbsp;not&nbsp;available,97.5
1096546.WYO_0552,WYO_0552,annotation&nbsp;not&nbsp;available,97.5
1096546.WYO_2020,WYO_2020,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;1,97.5
1096546.WYO_0999,nusA,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusA,97.5
1096546.WYO_1361,acdS,1-aminocyclopropane-1-carboxylate&nbsp;deaminase,97.5
1096546.WYO_5283,pgk,annotation&nbsp;not&nbsp;available,97.4
1096546.WYO_0616,WYO_0616,annotation&nbsp;not&nbsp;available,97.4
1096546.WYO_4020,WYO_4020,annotation&nbsp;not&nbsp;available,97.4
1096546.WYO_5278,WYO_5278,annotation&nbsp;not&nbsp;available,97.4
1096546.WYO_0352,WYO_0352,annotation&nbsp;not&nbsp;available,97.4
1096546.WYO_5914,WYO_5914,annotation&nbsp;not&nbsp;available,97.3
1096546.WYO_0751,WYO_0751,annotation&nbsp;not&nbsp;available,97.3
1096546.WYO_4566,WYO_4566,annotation&nbsp;not&nbsp;available,97.3
1096546.WYO_0078,WYO_0078,annotation&nbsp;not&nbsp;available,97.3
1096546.WYO_2295,WYO_2295,annotation&nbsp;not&nbsp;available,97.3
1096546.WYO_0934,WYO_0934,annotation&nbsp;not&nbsp;available,97.3
1096546.WYO_4165,WYO_4165,annotation&nbsp;not&nbsp;available,97.3
1096546.WYO_3560,WYO_3560,annotation&nbsp;not&nbsp;available,97.2
1096546.WYO_2464,WYO_2464,annotation&nbsp;not&nbsp;available,97.2
1096546.WYO_0010,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,97.2
1096546.WYO_2693,prs,Ribose-phosphate&nbsp;pyrophosphokinase,97.2
1096546.WYO_3422,WYO_3422,annotation&nbsp;not&nbsp;available,97.2
1096546.WYO_1139,WYO_1139,annotation&nbsp;not&nbsp;available,97.1
